,"x",,,,,,"zeros",,,,
"137",0.9882931288,-1,1,-1,-1,-1,1,1,,,
"138",1.0142278435,-1,1,-1,-1,-1,1,1,,,
"139",0.7438344292,0,-1,-1,-1,-1,0,,,,
"140",0.718379987,0,-1,-1,-1,-1,0,,,,
"141",0.2209397457,0,-1,-1,-1,-1,0,,,,
"142",0.2113342958,0,-1,-1,-1,-1,0,,,,
"143",0.2708880851,0,-1,-1,-1,-1,0,,,,
"144",0.2300649231,0,-1,-1,-1,-1,0,,,,
"145",0.2026893909,0,-1,-1,-1,-1,0,,,,
"146",1.1611842145,-1,1,-1,-1,-1,1,1,,,
"147",1.1352494998,-1,1,-1,-1,-1,1,1,,,
"148",1.1021177099,-1,1,-1,-1,-1,1,1,,,
"149",0.7721705063,0,-1,-1,-1,-1,0,,,,
"150",0.9921353087,-1,1,-1,-1,-1,1,1,,,
"151",0.881672635,-1,1,-1,-1,-1,1,1,,,
"152",1.4199154217,-1,-1,2,-1,-1,2,,2,,
"153",1.7815606099,-1,-1,-1,3,-1,3,,,3,
"154",0.0509818505,0,-1,-1,-1,-1,0,,,,
"155",0.88071209,-1,1,-1,-1,-1,1,1,,,
"156",0.5318030847,0,-1,-1,-1,-1,0,,,,
"157",0.6417854859,0,-1,-1,-1,-1,0,,,,
"158",0.7188602595,0,-1,-1,-1,-1,0,,,,
"159",0.7428738842,0,-1,-1,-1,-1,0,,,,
"160",0.7707296888,0,-1,-1,-1,-1,0,,,,
"161",0.7596834215,0,-1,-1,-1,-1,0,,,,
"162",0.8173161208,-1,1,-1,-1,-1,1,1,,,
"163",0.8374875656,-1,1,-1,-1,-1,1,1,,,
"164",1.2005735712,-1,-1,2,-1,-1,2,,2,,
"165",0.9791679514,-1,1,-1,-1,-1,1,1,,,
"166",2.2188183721,-1,-1,-1,3,-1,3,,,3,
"167",0.2877074873,0,-1,-1,-1,-1,0,,,,
"168",1.0829068101,-1,1,-1,-1,-1,1,1,,,
"169",0.7851378637,0,-1,-1,-1,-1,0,,,,
"170",1.0829068101,-1,1,-1,-1,-1,1,1,,,
"171",0.9839706763,-1,1,-1,-1,-1,1,1,,,
"172",0.9148114371,-1,1,-1,-1,-1,1,1,,,
"173",0.8648630977,-1,1,-1,-1,-1,1,1,,,
"174",0.6727541,0,-1,-1,-1,-1,0,,,,
"175",0.589436371,0,-1,-1,-1,-1,0,,,,
"176",-0.0059828883,0,-1,-1,-1,-1,0,,,,
"177",0.7068534471,0,-1,-1,-1,-1,0,,,,
"178",0.6948466347,0,-1,-1,-1,-1,0,,,,
"179",0.7822562287,0,-1,-1,-1,-1,0,,,,
"180",0.6693921925,0,-1,-1,-1,-1,0,,,,
"181",0.7870589536,0,-1,-1,-1,-1,0,,,,
"182",0.7755324138,0,-1,-1,-1,-1,0,,,,
"183",0.7015704497,0,-1,-1,-1,-1,0,,,,
"184",0.7063731746,0,-1,-1,-1,-1,0,,,,
"185",0.7236629844,0,-1,-1,-1,-1,0,,,,
"186",0.7222221669,0,-1,-1,-1,-1,0,,,,
"187",0.7111758995,0,-1,-1,-1,-1,0,,,,
"188",0.7351895243,0,-1,-1,-1,-1,0,,,,
"189",0.7707296888,0,-1,-1,-1,-1,0,,,,
"190",0.6967677247,0,-1,-1,-1,-1,0,,,,
"191",0.6943663622,0,-1,-1,-1,-1,0,,,,
"192",0.7299065268,0,-1,-1,-1,-1,0,,,,
"193",0.8182766658,-1,1,-1,-1,-1,1,1,,,
"194",0.7039718121,0,-1,-1,-1,-1,0,,,,
"195",0.8177963933,-1,1,-1,-1,-1,1,1,,,
"196",0.6775568249,0,-1,-1,-1,-1,0,,,,
"197",0.6770765525,0,-1,-1,-1,-1,0,,,,
"198",0.822496153,-1,1,-1,-1,-1,1,1,,,
"199",1.1471099837,-1,1,-1,-1,-1,1,1,,,
"200",0.2737810959,0,-1,-1,-1,-1,0,,,,
"201",0.3232491628,0,-1,-1,-1,-1,0,,,,
"202",0.4154614817,0,-1,-1,-1,-1,0,,,,
"203",0.3813621346,0,-1,-1,-1,-1,0,,,,
"204",0.34390088,0,-1,-1,-1,-1,0,,,,
"205",-0.2273407347,0,-1,-1,-1,-1,0,,,,
"206",-0.239347547,0,-1,-1,-1,-1,0,,,,
"207",-0.2167747398,0,-1,-1,-1,-1,0,,,,
"208",-0.2326237321,0,-1,-1,-1,-1,0,,,,
"209",-0.2340645496,0,-1,-1,-1,-1,0,,,,
"210",-0.240308092,0,-1,-1,-1,-1,0,,,,
"211",-0.1889189351,0,-1,-1,-1,-1,0,,,,
"212",0.7976249485,0,-1,-1,-1,-1,0,,,,
"213",0.7073337196,0,-1,-1,-1,-1,0,,,,
"214",0.7683283264,0,-1,-1,-1,-1,0,,,,
"215",0.9200944346,-1,1,-1,-1,-1,1,1,,,
"216",0.8663039152,-1,1,-1,-1,-1,1,1,,,
"217",0.6833200949,0,-1,-1,-1,-1,0,,,,
"218",0.7515187891,0,-1,-1,-1,-1,0,,,,
"219",0.3363327666,0,-1,-1,-1,-1,0,,,,
"220",0.4011695533,0,-1,-1,-1,-1,0,,,,
"221",0.7001296322,0,-1,-1,-1,-1,0,,,,
"222",1.1871259414,-1,-1,2,-1,-1,2,,2,,
"223",1.3259246923,-1,-1,2,-1,-1,2,,2,,
"224",1.1597504092,-1,1,-1,-1,-1,1,1,,,
"225",0.2284477805,0,-1,-1,-1,-1,0,,,,
"226",0.9210549796,-1,1,-1,-1,-1,1,1,,,
"227",0.2577931054,0,-1,-1,-1,-1,0,,,,
"228",-0.1042168196,0,-1,-1,-1,-1,0,,,,
"229",-0.1325528968,0,-1,-1,-1,-1,0,,,,
"230",-0.0773215599,0,-1,-1,-1,-1,0,,,,
"231",-0.1455202541,0,-1,-1,-1,-1,0,,,,
"232",-0.0970127322,0,-1,-1,-1,-1,0,,,,
"233",-0.1527243415,0,-1,-1,-1,-1,0,,,,
"234",-0.1239603589,0,-1,-1,-1,-1,0,,,,
"235",-0.1215589964,0,-1,-1,-1,-1,0,,,,
"236",-0.0562419372,0,-1,-1,-1,-1,0,,,,
"237",-0.1873563282,0,-1,-1,-1,-1,0,,,,
"238",-0.0403929449,0,-1,-1,-1,-1,0,,,,
"239",-0.1647835209,0,-1,-1,-1,-1,0,,,,
"240",-0.0855385594,0,-1,-1,-1,-1,0,,,,
"241",-0.1009072792,0,-1,-1,-1,-1,0,,,,
"242",-0.1844746932,0,-1,-1,-1,-1,0,,,,
"243",-0.1138746365,0,-1,-1,-1,-1,0,,,,
"244",-0.0351099475,0,-1,-1,-1,-1,0,,,,
"245",-0.1787114233,0,-1,-1,-1,-1,0,,,,
"246",0.8893569949,-1,1,-1,-1,-1,1,1,,,
"247",1.6532214596,-1,-1,2,-1,-1,2,,2,,
"248",1.369860688,-1,-1,2,-1,-1,2,,2,,
"249",1.9884516606,-1,-1,-1,3,-1,3,,,3,
"250",2.4861323438,-1,-1,-1,3,-1,3,,,3,
"251",0.6333174932,0,-1,-1,-1,-1,0,,,,
"252",0.5026833747,0,-1,-1,-1,-1,0,,,,
"253",0.8509351954,-1,1,-1,-1,-1,1,1,,,
"254",0.8432508355,-1,1,-1,-1,-1,1,1,,,
"255",0.9868523113,-1,1,-1,-1,-1,1,1,,,
"256",0.7947433136,0,-1,-1,-1,-1,0,,,,
"257",0.8211583007,-1,1,-1,-1,-1,1,1,,,
"258",1.5669232731,-1,-1,2,-1,-1,2,,2,,
"259",1.6893927591,-1,-1,2,-1,-1,2,,2,,
"260",1.5361858334,-1,-1,2,-1,-1,2,,2,,
"261",1.5991015302,-1,-1,2,-1,-1,2,,2,,
"262",2.03807059,-1,-1,-1,3,-1,3,,,3,
"263",1.6432865997,-1,-1,2,-1,-1,2,,2,,
"264",1.5808511754,-1,-1,2,-1,-1,2,,2,,
"265",1.6288784248,-1,-1,2,-1,-1,2,,2,,
"266",1.7422227335,-1,-1,-1,3,-1,3,,,3,
"267",1.5433899209,-1,-1,2,-1,-1,2,,2,,
"268",1.5313831085,-1,-1,2,-1,-1,2,,2,,
"269",1.5678838181,-1,-1,2,-1,-1,2,,2,,
"270",1.6365627848,-1,-1,2,-1,-1,2,,2,,
"271",1.7201301988,-1,-1,-1,3,-1,3,,,3,
"272",1.6101477976,-1,-1,2,-1,-1,2,,2,,
"273",1.7062022964,-1,-1,2,-1,-1,2,,2,,
"274",2.0822556595,-1,-1,-1,3,-1,3,,,3,
"275",1.5976607127,-1,-1,2,-1,-1,2,,2,,
"276",1.703800934,-1,-1,2,-1,-1,2,,2,,
"277",1.5323436535,-1,-1,2,-1,-1,2,,2,,
"278",1.6250362449,-1,-1,2,-1,-1,2,,2,,
"279",1.7431832785,-1,-1,-1,3,-1,3,,,3,
"280",1.7090839314,-1,-1,2,-1,-1,2,,2,,
"281",1.5726922758,-1,-1,2,-1,-1,2,,2,,
"282",0.8466127429,-1,1,-1,-1,-1,1,1,,,
"283",0.7894603161,0,-1,-1,-1,-1,0,,,,
"284",0.9561148716,-1,1,-1,-1,-1,1,1,,,
"285",1.74392663,-1,-1,-1,3,-1,3,,,3,
"286",1.9542859825,-1,-1,-1,3,-1,3,,,3,
"287",1.8848464674,-1,-1,-1,3,-1,3,,,3,
"288",0.4894515296,0,-1,-1,-1,-1,0,,,,
"289",0.5780827989,0,-1,-1,-1,-1,0,,,,
"290",0.5992147887,0,-1,-1,-1,-1,0,,,,
"291",0.2827152149,0,-1,-1,-1,-1,0,,,,
"292",0.5031602898,0,-1,-1,-1,-1,0,,,,
"293",0.5727998015,0,-1,-1,-1,-1,0,,,,
"294",0.484909935,0,-1,-1,-1,-1,0,,,,
"295",0.5699181665,0,-1,-1,-1,-1,0,,,,
"296",0.2601424077,0,-1,-1,-1,-1,0,,,,
"297",0.5319766395,0,-1,-1,-1,-1,0,,,,
"298",0.3182553795,0,-1,-1,-1,-1,0,,,,
"299",0.3369860068,0,-1,-1,-1,-1,0,,,,
"300",-0.261332758,0,-1,-1,-1,-1,0,,,,
"301",1.3692620364,-1,-1,2,-1,-1,2,,2,,
"302",0.1671212845,0,-1,-1,-1,-1,0,,,,
"303",0.8634222802,-1,1,-1,-1,-1,1,1,,,
"304",0.8312440231,-1,1,-1,-1,-1,1,1,,,
"305",0.0126383486,0,-1,-1,-1,-1,0,,,,
"306",0.0450323904,0,-1,-1,-1,-1,0,,,,
"307",0.4061820197,0,-1,-1,-1,-1,0,,,,
"308",0.4513276342,0,-1,-1,-1,-1,0,,,,
"309",0.3682404927,0,-1,-1,-1,-1,0,,,,
"310",0.7865786812,0,-1,-1,-1,-1,0,,,,
"311",0.8293229331,-1,1,-1,-1,-1,1,1,,,
"312",0.7740915963,0,-1,-1,-1,-1,0,,,,
"313",0.7063731746,0,-1,-1,-1,-1,0,,,,
"314",0.8350862031,-1,1,-1,-1,-1,1,1,,,
"315",0.3349193221,0,-1,-1,-1,-1,0,,,,
"316",0.4161264333,0,-1,-1,-1,-1,0,,,,
"317",1.3734716692,-1,-1,2,-1,-1,2,,2,,
"318",0.8600603728,-1,1,-1,-1,-1,1,1,,,
"319",2.1391986561,-1,-1,-1,3,-1,3,,,3,
"320",1.7645861105,-1,-1,-1,3,-1,3,,,3,
"321",1.8736079667,-1,-1,-1,3,-1,3,,,3,
"322",1.9110692213,-1,-1,-1,3,-1,3,,,3,
"323",1.9542937458,-1,-1,-1,3,-1,3,,,3,
"324",1.6848608764,-1,-1,2,-1,-1,2,,2,,
"325",1.8323045322,-1,-1,-1,3,-1,3,,,3,
"326",1.7367303058,-1,-1,-1,3,-1,3,,,3,
"327",2.0825265017,-1,-1,-1,3,-1,3,,,3,
"328",2.0277754374,-1,-1,-1,3,-1,3,,,3,
"329",1.7727507429,-1,-1,-1,3,-1,3,,,3,
"330",1.8188569024,-1,-1,-1,3,-1,3,,,3,
"331",2.103178219,-1,-1,-1,3,-1,3,,,3,
"332",2.1046190365,-1,-1,-1,3,-1,3,,,3,
"333",2.7102426518,-1,-1,-1,-1,4,4,,,,4
"334",1.8447916171,-1,-1,-1,3,-1,3,,,3,
"335",2.1026979465,-1,-1,-1,3,-1,3,,,3,
"336",1.641636352,-1,-1,2,-1,-1,2,,2,,
"337",2.3850981731,-1,-1,-1,3,-1,3,,,3,
"338",1.8433507996,-1,-1,-1,3,-1,3,,,3,
"339",0.6636840507,0,-1,-1,-1,-1,0,,,,
"340",1.0406428306,-1,1,-1,-1,-1,1,1,,,
"341",0.7736113238,0,-1,-1,-1,-1,0,,,,
"342",1.2010538437,-1,-1,2,-1,-1,2,,2,,
"343",0.7649664189,0,-1,-1,-1,-1,0,,,,
"344",0.7078139921,0,-1,-1,-1,-1,0,,,,
"345",1.0704197253,-1,1,-1,-1,-1,1,1,,,
"346",1.0984064795,-1,1,-1,-1,-1,1,1,,,
"347",1.7991059188,-1,-1,-1,3,-1,3,,,3,
"348",2.5852842625,-1,-1,-1,-1,4,4,,,,4
"349",0.9450686043,-1,1,-1,-1,-1,1,1,,,
"350",0.3819191938,0,-1,-1,-1,-1,0,,,,
"351",2.1550832864,-1,-1,-1,3,-1,3,,,3,
"352",2.2396112454,-1,-1,-1,3,-1,3,,,3,
"353",0.8020793287,-1,1,-1,-1,-1,1,1,,,
"354",0.8048290359,-1,1,-1,-1,-1,1,1,,,
"355",0.7030112671,0,-1,-1,-1,-1,0,,,,
"356",0.6813990049,0,-1,-1,-1,-1,0,,,,
"357",1.0097931826,-1,1,-1,-1,-1,1,1,,,
"358",2.0047914121,-1,-1,-1,3,-1,3,,,3,
"359",0.8451719255,-1,1,-1,-1,-1,1,1,,,
"360",0.7899405886,0,-1,-1,-1,-1,0,,,,
"361",0.7568017865,0,-1,-1,-1,-1,0,,,,
"362",0.7241432569,0,-1,-1,-1,-1,0,,,,
"363",0.8566984653,-1,1,-1,-1,-1,1,1,,,
"364",0.8499746504,-1,1,-1,-1,-1,1,1,,,
"365",1.0680183628,-1,1,-1,-1,-1,1,1,,,
"366",-0.2190687785,0,-1,-1,-1,-1,0,,,,
"367",0.4581259251,0,-1,-1,-1,-1,0,,,,
"368",0.7957038585,0,-1,-1,-1,-1,0,,,,
"369",0.843731108,-1,1,-1,-1,-1,1,1,,,
"370",1.2394756433,-1,-1,2,-1,-1,2,,2,,
"371",0.6568481681,0,-1,-1,-1,-1,0,,,,
"372",0.8868986929,-1,1,-1,-1,-1,1,1,,,
"373",0.6732097049,0,-1,-1,-1,-1,0,,,,
"374",0.6650450725,0,-1,-1,-1,-1,0,,,,
"375",0.3898489333,0,-1,-1,-1,-1,0,,,,
"376",0.8091268208,-1,1,-1,-1,-1,1,1,,,
"377",0.9176930721,-1,1,-1,-1,-1,1,1,,,
"378",0.7548806965,0,-1,-1,-1,-1,0,,,,
"379",2.7505558637,-1,-1,-1,-1,4,4,,,,4
"380",0.5495342943,0,-1,-1,-1,-1,0,,,,
"381",0.1850074711,0,-1,-1,-1,-1,0,,,,
"382",0.1672373888,0,-1,-1,-1,-1,0,,,,
"383",3.4371353006,-1,-1,-1,-1,4,4,,,,4
"384",3.5303081645,-1,-1,-1,-1,4,4,,,,4
"385",2.8771375723,-1,-1,-1,-1,4,4,,,,4
"386",3.2603950227,-1,-1,-1,-1,4,4,,,,4
"387",0.7769732313,0,-1,-1,-1,-1,0,,,,
"388",0.8153950308,-1,1,-1,-1,-1,1,1,,,
"389",1.1587898642,-1,1,-1,-1,-1,1,1,,,
"390",0.2902365985,0,-1,-1,-1,-1,0,,,,
"391",0.0914424973,0,-1,-1,-1,-1,0,,,,
"392",0.026125438,0,-1,-1,-1,-1,0,,,,
"393",0.8172420872,-1,1,-1,-1,-1,1,1,,,
"394",0.488226497,0,-1,-1,-1,-1,0,,,,
"395",0.8177963933,-1,1,-1,-1,-1,1,1,,,
"396",0.8597993143,-1,1,-1,-1,-1,1,1,,,
"397",0.8547773753,-1,1,-1,-1,-1,1,1,,,
"398",0.2394940478,0,-1,-1,-1,-1,0,,,,
"399",-0.2488456732,0,-1,-1,-1,-1,0,,,,
"400",0.1415819592,0,-1,-1,-1,-1,0,,,,
"401",1.1602306817,-1,1,-1,-1,-1,1,1,,,
"402",0.2407190805,0,-1,-1,-1,-1,0,,,,
"403",-0.1124482848,0,-1,-1,-1,-1,0,,,,
"404",0.1312169518,0,-1,-1,-1,-1,0,,,,
"405",0.5493092663,0,-1,-1,-1,-1,0,,,,
"406",1.175119129,-1,-1,2,-1,-1,2,,2,,
"407",2.2901964526,-1,-1,-1,3,-1,3,,,3,
"408",0.7351895243,0,-1,-1,-1,-1,0,,,,
"409",0.712616717,0,-1,-1,-1,-1,0,,,,
"410",0.7646501108,0,-1,-1,-1,-1,0,,,,
"411",0.6938860898,0,-1,-1,-1,-1,0,,,,
"412",1.0539555843,-1,1,-1,-1,-1,1,1,,,
"413",0.5115355325,0,-1,-1,-1,-1,0,,,,
"414",0.475034823,0,-1,-1,-1,-1,0,,,,
"415",0.8197174833,-1,1,-1,-1,-1,1,1,,,
"416",0.0189897834,0,-1,-1,-1,-1,0,,,,
"417",1.3388920496,-1,-1,2,-1,-1,2,,2,,
"418",1.4503152683,-1,-1,2,-1,-1,2,,2,,
"419",0.9484305117,-1,1,-1,-1,-1,1,1,,,
"420",0.9450686043,-1,1,-1,-1,-1,1,1,,,
"421",1.4474336333,-1,-1,2,-1,-1,2,,2,,
"422",0.9930958537,-1,1,-1,-1,-1,1,1,,,
"423",1.0411231031,-1,1,-1,-1,-1,1,1,,,
"424",1.4219791911,-1,-1,2,-1,-1,2,,2,,
"425",0.9897339462,-1,1,-1,-1,-1,1,1,,,
"426",0.8893569949,-1,1,-1,-1,-1,1,1,,,
"427",0.7654466914,0,-1,-1,-1,-1,0,,,,
"428",1.5031452427,-1,-1,2,-1,-1,2,,2,,
"429",1.176079674,-1,-1,2,-1,-1,2,,2,,
"430",0.0156637687,0,-1,-1,-1,-1,0,,,,
"431",0.1073958151,0,-1,-1,-1,-1,0,,,,
"432",0.5012192604,0,-1,-1,-1,-1,0,,,,
"433",0.0252692186,0,-1,-1,-1,-1,0,,,,
"434",-0.0534954705,0,-1,-1,-1,-1,0,,,,
"435",0.0824216454,0,-1,-1,-1,-1,0,,,,
"436",0.0411182109,0,-1,-1,-1,-1,0,,,,
"437",0.0367957584,0,-1,-1,-1,-1,0,,,,
"438",0.2317863911,0,-1,-1,-1,-1,0,,,,
"439",0.0132624062,0,-1,-1,-1,-1,0,,,,
"440",-0.0001852236,0,-1,-1,-1,-1,0,,,,
"441",1.4824935254,-1,-1,2,-1,-1,2,,2,,
"442",0.9407461518,-1,1,-1,-1,-1,1,1,,,
"443",1.048807463,-1,1,-1,-1,-1,1,1,,,
"444",1.0036618486,-1,1,-1,-1,-1,1,1,,,
"445",0.9143311646,-1,1,-1,-1,-1,1,1,,,
"446",0.105638825,0,-1,-1,-1,-1,0,,,,
"447",2.00567524,-1,-1,-1,3,-1,3,,,3,
"448",0.8057895809,-1,1,-1,-1,-1,1,1,,,
"449",1.0632156379,-1,1,-1,-1,-1,1,1,,,
"450",3.3973521402,-1,-1,-1,-1,4,4,,,,4
"451",0.5960353107,0,-1,-1,-1,-1,0,,,,
"452",0.740117059,0,-1,-1,-1,-1,0,,,,
"453",1.5427977508,-1,-1,2,-1,-1,2,,2,,
"454",1.6936033141,-1,-1,2,-1,-1,2,,2,,
"455",0.9378645169,-1,1,-1,-1,-1,1,1,,,
"456",0.7909011336,0,-1,-1,-1,-1,0,,,,
"457",0.6684316476,0,-1,-1,-1,-1,0,,,,
